,w,w_ei,w_e1,w_g0,w_g5,w_d5,w_d2
85,3.693748,3.12581,3.693748,13.584169,6.464055,2.549202,9.73699
86,3.667756,3.201895,3.667756,15.703323,7.514629,2.777717,9.172484
87,3.219669,4.77085,3.219669,8.912074,8.060434,3.224439,12.963174
88,3.884039,21.347695,3.884039,13.668209,9.42225,2.910984,18.403077
89,3.397166,3.624272,3.397166,9.655793,5.699474,3.053261,16.122871
90,3.467229,4.373803,3.467229,11.360612,5.240281,3.047286,23.109284
91,3.388055,4.101563,3.388055,8.759179,8.203722,2.804266,20.315131
92,3.235572,3.474826,3.235572,10.777584,8.409583,2.802918,6.296179
93,3.85299,3.327009,3.85299,17.901475,7.578695,2.636386,15.397847
94,4.005315,31.389409,4.005315,4.761113,11.24254,3.226664,26.525309
95,4.353119,5.873892,4.353119,6.454133,5.840652,2.880453,14.264181
96,3.534037,3.40789,3.534037,11.809141,5.446472,3.187666,10.908351
97,4.83318,3.612819,4.83318,14.026138,5.129749,3.599725,6.284117
98,3.853655,3.128603,3.853655,11.066527,8.895028,3.679094,17.59942
99,3.338929,3.491558,3.338929,14.754305,5.532564,3.141743,18.885221
